Part,Value,Device,Package,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,COMMENT,COPYRIGHT,CREATED_BY,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGIKEY_PARTNO,EU_ROHS_COMPLIANCE,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,PACKAGE,PART_STATUS,POPULARITY,PRICE,PURCHASE-URL,ROHS_COMPLIANT,SERIES,SPICEPREFIX,SUB-CATEGORY,THERMALLOSS,TYPE,VALUE
C1,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,10u,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,10u,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C13,0.1,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
